"iyear","imonth","iday","country","country_txt","region","region_txt","provstate","crit1","crit2","crit3","multiple","success","suicide","attacktype1","attacktype1_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","gname","motive","individual","nperps","claimed","weaptype1","weaptype1_txt","nkill","nwound","INT_LOG","INT_IDEO"
2015,8,18,101,"Japan",4,"East Asia","Tokyo",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",19,"Transportation",100,"Train/Train Tracks/Trolley","Anti-Nuclear extremists","An individual, identified as Izaya Noda, claimed responsibility for the incident and stated that he targeted East Japan Railway Company because the company used excessive electricity.",1,1,1,8,"Incendiary",0,0,-9,-9
2015,8,22,101,"Japan",4,"East Asia","Tokyo",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",19,"Transportation",100,"Train/Train Tracks/Trolley","Anti-Nuclear extremists","An individual, identified as Izaya Noda, claimed responsibility for the incident and stated that he targeted East Japan Railway Company because the company used excessive electricity.",1,1,1,8,"Incendiary",0,0,-9,-9
2015,8,23,101,"Japan",4,"East Asia","Tokyo",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",19,"Transportation",100,"Train/Train Tracks/Trolley","Anti-Nuclear extremists","An individual, identified as Izaya Noda, claimed responsibility for the incident and stated that he targeted East Japan Railway Company because the company used excessive electricity.",1,1,1,8,"Incendiary",0,0,-9,-9
2015,8,27,101,"Japan",4,"East Asia","Tokyo",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",19,"Transportation",100,"Train/Train Tracks/Trolley","Anti-Nuclear extremists","An individual, identified as Izaya Noda, claimed responsibility for the incident and stated that he targeted East Japan Railway Company because the company used excessive electricity.",1,1,1,8,"Incendiary",0,0,-9,-9
2015,8,30,101,"Japan",4,"East Asia","Tokyo",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",19,"Transportation",100,"Train/Train Tracks/Trolley","Anti-Nuclear extremists","An individual, identified as Izaya Noda, claimed responsibility for the incident and stated that he targeted East Japan Railway Company because the company used excessive electricity.",1,1,1,8,"Incendiary",0,0,-9,-9
2015,9,5,101,"Japan",4,"East Asia","Tokyo",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",19,"Transportation",100,"Train/Train Tracks/Trolley","Anti-Nuclear extremists","An individual, identified as Izaya Noda, claimed responsibility for the incident and stated that he targeted East Japan Railway Company because the company used excessive electricity.",1,1,1,8,"Incendiary",0,0,-9,-9
2015,9,13,217,"United States",1,"North America","Texas",1,1,1,0,0,0,2,"Armed Assault",15,"Religious Figures/Institutions",86,"Place of Worship","Muslim extremists","An individual, identified as Rasheed Abdul Aziz, claimed responsibility for the incident and stated that he had been sent by Allah to slay infidels.",1,1,1,5,"Firearms",0,0,-9,-9
2015,9,17,75,"Germany",8,"Western Europe","Berlin",1,1,1,0,1,0,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Muslim extremists",,1,1,0,9,"Melee",1,1,-9,-9
2015,9,29,55,"Denmark",8,"Western Europe","Capital",0,1,1,0,1,0,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Jihadi-inspired extremists","The specific motive is unknown; however, sources suspected that the unidentified assailant may have sympathized with the Islamic State of Iraq and the Levant (ISIL).",1,1,0,9,"Melee",0,1,-9,-9
2015,10,1,217,"United States",1,"North America","Oregon",1,1,1,0,1,1,5,"Hostage Taking (Barricade Incident)",8,"Educational Institution",49,"School/University/Educational Building","Incel extremists","An unaffiliated individual, identified as Christopher Harper-Mercer, claimed responsibility for the incident and wrote a manifesto and posted statements online reflecting a fixation on mass shootings, as well as a misogynist and white supremacist narrative seen in message forums where participants self-identify as involuntarily celibate.",1,1,1,5,"Firearms",10,7,-9,-9
2015,10,2,14,"Australia",12,"Australasia & Oceania","New South Wales",1,1,1,0,1,0,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Jihadi-inspired extremists",,1,1,0,5,"Firearms",2,0,-9,-9
2015,10,17,75,"Germany",8,"Western Europe","North Rhine-Westphalia",1,1,1,0,0,0,1,"Assassination",14,"Private Citizens & Property",84,"Political Party Member/Rally","Anti-Immigrant extremists","An unidentified individual claimed responsibility for the incident and stated that he carried out the attack because of anti-foreigner motives.",1,1,1,9,"Melee",0,5,-9,-9
2015,10,22,198,"Sweden",8,"Western Europe","Vastra Gotaland",1,1,1,0,1,0,2,"Armed Assault",8,"Educational Institution",49,"School/University/Educational Building","Anti-Immigrant extremists","An individual, identified as Anton Lundin-Pettersson, claimed responsibility for the incident and stated that he was opposed to immigration policies in Sweden.",1,1,1,9,"Melee",4,1,-9,-9
2015,11,1,217,"United States",1,"North America","Mississippi",1,1,1,0,1,0,3,"Bombing/Explosion",1,"Business",7,"Retail/Grocery/Bakery","Right-wing extremists","The specific motive is unknown; however, sources posited that Marshall E. Leonard targeted the Walmart because it stopped selling Mississippi state flags containing the Confederate flag symbol.",1,1,1,6,"Explosives",0,0,-9,-9
2015,11,4,217,"United States",1,"North America","California",1,1,1,0,1,0,2,"Armed Assault",8,"Educational Institution",49,"School/University/Educational Building","Jihadi-inspired extremists",,1,1,1,9,"Melee",1,4,-9,-9
2015,11,6,217,"United States",1,"North America","California",1,1,1,0,1,0,8,"Unarmed Assault",14,"Private Citizens & Property",69,"Religion Identified","Anti-Sikh extremists","An individual, identified as KC Tard Jr., claimed responsibility for the incident and described Balwinder Jit Singh as a terrorist and a suicide bomber.",1,1,1,9,"Melee",0,1,-9,-9
2015,11,15,217,"United States",1,"North America","Connecticut",1,1,1,0,1,0,2,"Armed Assault",15,"Religious Figures/Institutions",86,"Place of Worship","Anti-Muslim extremists","The specific motive is unknown; however, sources suspected that the attack may have been part of a larger trend of violence targeting members of the Muslim community following the Paris attacks.",1,1,1,5,"Firearms",0,0,-9,-9
2015,11,18,28,"Bosnia-Herzegovina",9,"Eastern Europe","Federation of Bosnia and Herzegovina",1,1,1,0,1,0,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Muslim extremists",,1,1,0,5,"Firearms",2,3,-9,-9
2015,11,19,217,"United States",1,"North America","Virginia",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",15,"Religious Figures/Institutions",86,"Place of Worship","Anti-Muslim extremists","The specific motive is unknown; however, sources suspected that the attack may have been part of a larger trend of violence targeting members of the Muslim community following the Paris attacks.",1,1,0,8,"Incendiary",0,0,-9,-9
2015,11,23,101,"Japan",4,"East Asia","Tokyo",1,1,1,0,1,0,3,"Bombing/Explosion",15,"Religious Figures/Institutions",87,"Affiliated Institution","Unknown","The specific motive is unknown; however, sources noted that the targeted shrine served as a representation of Japan's militarism in the past.",1,1,1,6,"Explosives",0,0,-9,-9
2015,11,26,107,"Kyrgyzstan",7,"Central Asia","Bishkek",1,1,1,0,1,0,2,"Armed Assault",15,"Religious Figures/Institutions",85,"Religious Figure","Jihadi-inspired extremists","The specific motive is unknown; however, sources noted that the assailants supported the ideology of the Islamic State of Iraq and the Levant (ISIL).",1,2,0,9,"Melee",0,1,-9,-9
2015,11,27,217,"United States",1,"North America","Colorado",1,1,1,0,1,0,5,"Hostage Taking (Barricade Incident)",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists","An individual, identified as Robert Lewis Dear, claimed responsibility for the incident and stated that he was a warrior for the babies.",1,1,1,5,"Firearms",3,9,-9,-9
2015,12,2,217,"United States",1,"North America","California",1,1,1,0,1,0,3,"Bombing/Explosion",2,"Government (General)",18,"Government Personnel (excluding police, military)","Jihadi-inspired extremists",,1,2,0,6,"Explosives",16,17,-9,-9
2015,12,5,603,"United Kingdom",8,"Western Europe","England",1,1,1,0,1,0,2,"Armed Assault",19,"Transportation",102,"Subway","Jihadi-inspired extremists","An individual, identified as Muhaydin Mire, claimed responsibility for the incident and stated that the attack was carried out in retaliation for Western operations targeting the Islamic State of Iraq and the Levant (ISIL) in Syria.",1,1,1,9,"Melee",0,3,-9,-9
2015,12,5,217,"United States",1,"North America","New York",1,1,1,0,1,0,8,"Unarmed Assault",14,"Private Citizens & Property",69,"Religion Identified","Anti-Muslim extremists","The specific motive is unknown; however, sources suspected that the attack may have been part of a larger trend of violence targeting members of the Muslim community following the Paris attacks and the San Bernardino attack. Moreover, sources noted that the assailant said, I kill Muslims, during the attack.",1,1,0,9,"Melee",0,1,-9,-9
2015,12,8,217,"United States",1,"North America","North Dakota",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",1,"Business",2,"Restaurant/Bar/Café","Anti-Muslim extremists","The specific motive is unknown; however, sources suspected that the attack may have been part of a larger trend of violence targeting members of the Muslim community following the Paris attacks and the San Bernardino attack.",1,1,0,8,"Incendiary",0,0,-9,-9
2015,12,11,217,"United States",1,"North America","California",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",15,"Religious Figures/Institutions",86,"Place of Worship","Anti-Muslim extremists","The specific motive is unknown; however, sources suspected that the attack may have been part of a larger trend of violence targeting members of the Muslim community following the Paris attacks and the San Bernardino attack.",1,1,0,8,"Incendiary",0,0,-9,-9
2016,1,1,69,"France",8,"Western Europe","Auvergne-Rhone-Alpes",1,1,0,0,1,0,8,"Unarmed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Jihadi-inspired extremists","An unaffiliated individual, identified as Raouf El Ayeb, claimed responsibility for the incident and stated that he targeted soldiers because troops killed people. Sources also noted that jihadist propaganda material was found on El Ayeb's computer.",1,1,1,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0,3,-9,-9
2016,1,7,217,"United States",1,"North America","Pennsylvania",1,1,1,0,1,0,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Jihadi-inspired extremists","An unaffiliated individual, identified as Edward Archer, claimed responsibility for the incident and stated that he carried out the attack in the name of Islam. Archer also pledged allegiance to the Islamic State of Iraq and the Levant (ISIL).",1,1,1,5,"Firearms",0,2,-9,-9
2016,1,7,69,"France",8,"Western Europe","Ile-de-France",1,1,1,0,0,0,2,"Armed Assault",3,"Police",22,"Police Building (headquarters, station, school)","Jihadi-inspired extremists","An unaffiliated individual, identified as Sallah Ali, claimed responsibility for the incident and stated that the attack was carried out in retaliation for French military operations in Syria. Ali also pledged allegiance to the Islamic State of Iraq and the Levant (ISIL).",1,1,1,9,"Melee",1,0,-9,-9
2016,1,10,38,"Canada",1,"North America","Alberta",1,1,1,0,1,0,2,"Armed Assault",1,"Business",11,"Entertainment/Cultural/Stadium/Casino","Muslim extremists",,1,2,0,5,"Firearms",0,1,-9,-9
2016,1,11,121,"Malaysia",5,"Southeast Asia","Kedah",1,1,1,0,1,0,5,"Hostage Taking (Barricade Incident)",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Jihadi-inspired extremists","The specific motive is unknown; however, authorities stated that the assailant carried out the attack in order to demonstrate his allegiance to the Islamic State of Iraq and the Levant (ISIL) and that he could execute ISIL attacks.",1,1,1,9,"Melee",0,0,-9,-9
2016,1,11,69,"France",8,"Western Europe","Provence-Alpes-Cote d'Azur",1,1,1,0,1,0,2,"Armed Assault",8,"Educational Institution",48,"Teacher/Professor/Instructor","Jihadi-inspired extremists","An unidentified individual claimed responsibility for the incident and stated that he believed France did not respect Islam and protected Jewish civilians. He also asserted that he carried out the attack on behalf of the Islamic State of Iraq and the Levant (ISIL).",1,1,1,9,"Melee",0,1,-9,-9
2016,1,15,217,"United States",1,"North America","New York",1,1,1,0,1,0,8,"Unarmed Assault",14,"Private Citizens & Property",69,"Religion Identified","Anti-Muslim extremists","The specific motive is unknown; however, sources noted that the assailants yelled, ISIS, ISIS throughout the attack.",1,2,0,9,"Melee",0,1,-9,-9
2016,1,17,198,"Sweden",8,"Western Europe","Vastra Gotaland",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",15,"Religious Figures/Institutions",86,"Place of Worship","Anti-Muslim extremists","The specific motive is unknown; however, sources noted that Andreas Persson possessed xenophobic beliefs.",1,1,1,8,"Incendiary",0,0,-9,-9
2016,2,5,75,"Germany",8,"Western Europe","Lower Saxony",1,1,1,0,0,0,2,"Armed Assault",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Jihadi-inspired extremists","The specific motive is unknown; however, sources suspected that Saleh Schmitter may have communicated with members of the Islamic State of Iraq and the Levant (ISIL) in Turkey.",1,1,0,8,"Incendiary",0,0,-9,-9
2016,2,11,217,"United States",1,"North America","Ohio",1,1,1,0,1,0,2,"Armed Assault",1,"Business",2,"Restaurant/Bar/Café","Muslim extremists",,1,1,0,9,"Melee",1,4,-9,-9
2016,2,14,198,"Sweden",8,"Western Europe","Stockholm",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",78,"Procession/Gathering (funeral, wedding, birthday, religious)","Jihadi-inspired extremists","The specific motive is unknown; however, sources noted that the assailant yelled Long live Daesh during the attack.",1,1,0,5,"Firearms",0,1,-9,-9
2016,2,18,603,"United Kingdom",8,"Western Europe","England",1,1,1,0,1,0,8,"Unarmed Assault",15,"Religious Figures/Institutions",85,"Religious Figure","Jihadi-inspired extremists","The specific motive is unknown; however, sources noted that Islamic State of Iraq and the Levant (ISIL) propaganda was discovered on the mobile phone of one of the assailants, Mohammed Syeedy.",1,2,1,9,"Melee",1,0,-9,-9
2016,2,18,217,"United States",1,"North America","Indiana",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","An unaffiliated individual, identified as Dana Ericson, claimed responsibility for the incident and stated that he targeted Zhang Yue because she was Asian and that he intended to carry out ethnic cleansing.",1,1,1,9,"Melee",0,1,-9,-9
2016,2,28,201,"Taiwan",4,"East Asia","Taipei",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",14,"Private Citizens & Property",84,"Political Party Member/Rally","Separatists","In a note left at the scene, an unaffiliated individual, identified as Lin Ta-chou, claimed responsibility for the incident and demanded that the Chinese Nationalist Party (KMT) return all land and property to Taiwan.",1,1,1,8,"Incendiary",0,0,-9,-9
2016,2,28,217,"United States",1,"North America","California",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",71,"Race/Ethnicity Identified","White supremacists/nationalists","The specific motive is unknown; however, sources noted that the three assailants yelled Heil Hitler, AV skins, during the attack.",1,3,0,9,"Melee",0,3,-9,-9
2016,2,29,167,"Russia",9,"Eastern Europe","Moscow",1,1,1,0,1,0,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",68,"Named Civilian","Unknown","An unaffiliated individual, identified as Gulchekhra Bobokulova, claimed responsibility for the incident and stated that the attack was carried out in retaliation for the deaths of Muslim civilians in Russian airstrikes in Syria. Sources also noted that the assailant stated I hate democracy. I'm a terrorist during the attack.",1,1,1,8,"Incendiary",1,0,-9,-9
2016,3,1,160,"Philippines",5,"Southeast Asia","Zamboanga Sibugay",1,1,1,0,0,0,1,"Assassination",7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","Unknown","The specific motive is unknown; however, sources noted that Sheikh Aaidh al-Qarni had recently been listed in Dabiq, a magazine of the Islamic State of Iraq and the Levant (ISIL). ISIL urged lone wolves to target al-Qarni and accused him of apostasy.",1,1,0,5,"Firearms",1,2,-9,-9
2016,3,8,218,"Uruguay",3,"South America","Paysandu",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",69,"Religion Identified","Anti-Semitic extremists","Carlos Peralta, an unaffiliated individual, claimed responsibility for the incident and stated that Allah told him to find a Jew and kill him.",1,1,1,9,"Melee",1,1,-9,-9
2016,3,14,38,"Canada",1,"North America","Ontario",1,1,1,0,1,0,2,"Armed Assault",4,"Military",28,"Military Recruiting Station/Academy","Unknown","An unaffiliated individual, identified as Ayanle Hassan Ali, claimed responsibility for the incident and stated that Allah told him to carry out the attack.",1,1,1,9,"Melee",0,2,-9,-9
2016,3,24,603,"United Kingdom",8,"Western Europe","Scotland",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",69,"Religion Identified","Muslim extremists","Tanveer Ahmed, an unaffiliated individual, claimed responsibility for the incident and stated that he targeted Shah because he allegedly disrespected Islam.",1,1,1,9,"Melee",1,1,-9,-9
2016,3,30,217,"United States",1,"North America","Massachusetts",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",21,"Utilities",107,"Electricity","Court Reform extremists","An unaffiliated individual, identified as Danny M. Kelly, claimed responsibility for the incident and demanded change within the court system.",1,1,1,8,"Incendiary",0,0,-9,-9
2016,4,16,75,"Germany",8,"Western Europe","North Rhine-Westphalia",1,1,1,0,1,0,3,"Bombing/Explosion",15,"Religious Figures/Institutions",86,"Place of Worship","Jihadi-inspired extremists","The specific motive is unknown; however, sources noted that the assailants supported the Islamic State of Iraq and the Levant (ISIL).",1,2,1,6,"Explosives",0,3,-9,-9
2016,5,10,75,"Germany",8,"Western Europe","Bavaria",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Muslim extremists","An unaffiliated individual, identified as Paul H., claimed responsibility for the incident and stated that he wanted to target non-believers.",1,1,1,9,"Melee",1,3,-9,-9
2016,5,19,161,"Poland",9,"Eastern Europe","Lower Silesia",1,1,1,0,1,0,3,"Bombing/Explosion",19,"Transportation",99,"Bus (excluding tourists)","Anti-Immigrant extremists","The specific motive is unknown; however, sources suspected that the attack may have been related to Pawel R.'s anti-immigration sentiments.",1,1,1,6,"Explosives",0,1,-9,-9
2016,5,24,110,"Lebanon",10,"Middle East & North Africa","Beqaa",0,1,1,0,1,0,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",68,"Named Civilian","Unknown","An unaffiliated individual, identified as Maarouf Hamieh, claimed responsibility for the incident and stated that the Hussein Mohammed al-Hujeiri was targeted in revenge for the death of his son, who was killed in 2014.",1,1,1,5,"Firearms",1,0,-9,-9
2016,5,26,69,"France",8,"Western Europe","Occitanie",1,1,1,0,1,0,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Jihadi-inspired extremists","Two individuals claimed responsibility for the incident and stated that the attack was carried out in retaliation for France's involvement in Syria against the Islamic State of Iraq and the Levant (ISIL).",1,2,1,9,"Melee",0,1,-9,-9
2016,6,8,97,"Israel",10,"Middle East & North Africa","Tel Aviv",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",74,"Marketplace/Plaza/Square","Hamas (Islamic Resistance Movement)","The specific motive is unknown; however, sources noted that Shin Bet, an Israeli security agency, stated that the assailants were inspired by the Islamic State of Iraq and the Levant (ISIL).",1,2,1,5,"Firearms",4,17,1,0
2016,6,12,217,"United States",1,"North America","Florida",1,1,1,0,1,0,5,"Hostage Taking (Barricade Incident)",1,"Business",11,"Entertainment/Cultural/Stadium/Casino","Jihadi-inspired extremists","An unaffiliated individual, identified as Omar Mateen, claimed responsibility for the incident and pledged allegiance to the Islamic State of Iraq and the Levant (ISIL). Additionally, Mateen stated that he carried out the attack in retaliation for United States (US) airstrikes in Iraq and Syria.",1,1,1,5,"Firearms",50,53,-9,-9
2016,6,13,69,"France",8,"Western Europe","Ile-de-France",1,1,1,0,1,0,1,"Assassination",3,"Police",25,"Police Security Forces/Officers","Jihadi-inspired extremists","An individual, identified as Larossi Abballa, claimed responsibility for the incident and pledged allegiance to the Islamic State of Iraq and the Levant (ISIL).",1,1,1,9,"Melee",3,0,-9,-9
2016,6,16,603,"United Kingdom",8,"Western Europe","England",1,1,1,0,1,0,1,"Assassination",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Neo-Nazi extremists","A neo-Nazi supporter, identified as Tommy Mair, claimed responsibility for the incident and stated put Britain first as he attacked Jo Cox, who supported Britain remaining in the European Union. Moreover, in court Mair identified himself as Death to traitors, freedom for Britain.",1,1,1,5,"Firearms",1,1,-9,-9
2016,6,18,217,"United States",1,"North America","Nevada",1,1,1,0,0,0,1,"Assassination",14,"Private Citizens & Property",84,"Political Party Member/Rally","Anti-Trump extremists","An unaffiliated individual, identified as Michael Steven Sandford, claimed responsibility for the incident and stated that he targeted Donald Trump because he believed somebody had to stand up for America.",1,1,1,5,"Firearms",0,0,-9,-9
2016,7,7,217,"United States",1,"North America","Texas",1,1,1,0,1,0,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Anti-White extremists","An unaffiliated individual, identified as Micah Xavier Johnson, claimed responsibility for the incident and stated that he wanted to kill white people, especially white officers.",1,1,1,5,"Firearms",6,9,-9,-9
2016,7,7,217,"United States",1,"North America","Tennessee",1,1,1,0,1,0,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Anti-Police extremists","An unaffiliated individual, identified as Lakeem Keon Scott, claimed responsibility for the incident and stated that he carried out the attack because he was upset with the deaths of African Americans by authorities in Louisiana and Minnesota. Sources also noted that Scott yelled Police suck! Black lives matter! during the attack.",1,1,1,5,"Firearms",1,4,-9,-9
2016,7,14,69,"France",8,"Western Europe","Provence-Alpes-Cote d'Azur",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",78,"Procession/Gathering (funeral, wedding, birthday, religious)","Jihadi-inspired extremists","The specific motive is unknown; however, sources noted that Mohamed Bouhlel had indicated that he supported the Islamic State of Iraq and the Levant (ISIL).",1,1,0,5,"Firearms",87,433,-9,-9
2016,7,17,217,"United States",1,"North America","Louisiana",1,1,1,0,1,0,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Anti-Police extremists","Gavin Long, an anti-police extremist, claimed responsibility for the incident and stated that he needed to bring destruction 'upon bad cops as well as good cops' because of what he saw as the justice system's failure to prosecute bad police officers who commit crimes against 'my people.'",1,1,1,5,"Firearms",4,3,-9,-9
2016,7,18,75,"Germany",8,"Western Europe","Bavaria",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",68,"Named Civilian","Jihadi-inspired extremists","An unaffiliated individual, identified as Riaz Khan Ahmadzai, claimed responsibility for the incident and stated that the attack was intended as revenge for members of the Muslim community. Sources also noted that a painted flag of the Islamic State of Iraq and the Levant (ISIL) was found in the room of Ahmadzai.",1,1,1,9,"Melee",1,5,-9,-9
2016,7,22,75,"Germany",8,"Western Europe","Bavaria",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Immigrant extremists","David Ali Sonboly, an unaffiliated individual, claimed responsibility for the incident and yelled I am German! during the attack. Sources also noted that Sonboly did not like Turkish people and Arabs, had written a manifesto in opposition to foreign infiltration and admired Adolf Hitler.",1,1,1,5,"Firearms",10,27,-9,-9
2016,7,24,75,"Germany",8,"Western Europe","Bavaria",1,1,1,0,1,0,3,"Bombing/Explosion",1,"Business",11,"Entertainment/Cultural/Stadium/Casino","Jihadi-inspired extremists","An unaffiliated individual, identified as Muhammad Daleel, claimed responsibility for the incident and pledged allegiance to the Islamic State of Iraq and the Levant (ISIL).",1,1,1,6,"Explosives",1,15,-9,-9
2016,7,26,69,"France",8,"Western Europe","Normandy",1,1,1,0,1,0,5,"Hostage Taking (Barricade Incident)",15,"Religious Figures/Institutions",86,"Place of Worship","Jihadi-inspired extremists","The specific motive is unknown; however, sources noted that Abdel Malik Petitjean and Adel Kermiche pledged allegiance to the Islamic State of Iraq and the Levant (ISIL) prior to the attack. Sources also noted that ISIL alleged that the attack was carried out in retaliation for France's involvement against ISIL.",1,2,1,5,"Firearms",3,1,-9,-9
2016,7,26,101,"Japan",4,"East Asia","Kanagawa",1,1,1,0,1,0,5,"Hostage Taking (Barricade Incident)",1,"Business",6,"Medical/Pharmaceutical","Opponents of disabled people","An unaffiliated individual, identified as Satoshi Uematsu, claimed responsibility for the incident and stated that It is better that disabled people disappear.",1,1,1,9,"Melee",19,26,-9,-9
2016,8,6,21,"Belgium",8,"Western Europe","Wallonia",1,1,1,0,1,0,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Unknown",,1,1,0,9,"Melee",1,2,-9,-9
2016,8,10,38,"Canada",1,"North America","Ontario",1,1,1,0,1,0,3,"Bombing/Explosion",19,"Transportation",105,"Taxi/Rickshaw","Jihadi-inspired extremists","An unaffiliated individual, identified as Aaron Driver, claimed responsibility for the incident and pledged allegiance to the Islamic State of Iraq and the Levant (ISIL).",1,1,1,6,"Explosives",1,1,-9,-9
2016,8,10,217,"United States",1,"North America","New York",0,1,1,0,1,0,7,"Facility/Infrastructure Attack",14,"Private Citizens & Property",76,"House/Apartment/Residence","Unknown","The specific motive is unknown; however, sources noted that the assailant spray-painted Lie with pigs, fry like bacon on the wall of the targeted house.",1,1,0,8,"Incendiary",0,0,-9,-9
2016,8,13,217,"United States",1,"North America","New York",0,1,1,0,1,0,2,"Armed Assault",15,"Religious Figures/Institutions",85,"Religious Figure","Unknown","The specific motive is unknown; however, sources suspected that the attack may have been carried out in retaliation for the deaths of members of the Hispanic community by alleged Muslims.",1,1,0,5,"Firearms",2,0,-9,-9
2016,8,13,202,"Tajikistan",7,"Central Asia","Khatlon",1,1,1,0,1,0,8,"Unarmed Assault",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Jihadi-inspired extremists","The specific motive is unknown; however, sources noted that the assailants supported the ideology of the Islamic State of Iraq and the Levant (ISIL).",1,3,0,9,"Melee",1,0,-9,-9
2016,8,17,5,"Albania",9,"Eastern Europe","Vlore",1,1,1,0,0,0,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Muslim extremists","The specific motive is unknown; however, sources noted that Dijar Xhema yelled, I am the emissary of Allah during the attack.",1,1,0,13,"Unknown",0,0,-9,-9
2016,8,20,217,"United States",1,"North America","Virginia",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Unknown","The specific motive is unknown; however, sources noted that the Federal Bureau of Investigation (FBI) was investigating if the attack was inspired by the Islamic State of Iraq and the Levant (ISIL).",1,1,0,9,"Melee",0,3,-9,-9
2016,8,26,167,"Russia",9,"Eastern Europe","Moscow",1,1,1,0,0,0,3,"Bombing/Explosion",19,"Transportation",101,"Bus Station/Stop","Jihadi-inspired extremists","The specific motive is unknown; however, sources noted that the attack was intended to be an act of initiation into the Islamic State of Iraq and the Levant (ISIL).",1,6,0,6,"Explosives",0,0,-9,-9
2016,8,28,93,"Indonesia",5,"Southeast Asia","North Sumatra",1,1,1,0,0,1,3,"Bombing/Explosion",15,"Religious Figures/Institutions",85,"Religious Figure","Jihadi-inspired extremists","The specific motive is unknown; however, sources posited that a picture of the Islamic State of Iraq and the Levant (ISIL) flag and its leader were discovered on Ivan Armadi Hasugian's phone.",1,1,1,6,"Explosives",0,2,-9,-9
2016,8,30,69,"France",8,"Western Europe","Occitanie",1,1,1,0,1,0,2,"Armed Assault",3,"Police",25,"Police Security Forces/Officers","Unknown","An unaffiliated individual, identified as Abderrahmane Amara, claimed responsibility for the incident and stated that he was sick of France.",1,1,1,9,"Melee",0,1,-9,-9
2016,9,1,55,"Denmark",8,"Western Europe","Capital",1,1,1,0,1,0,2,"Armed Assault",3,"Police",23,"Police Patrol (including vehicles and convoys)","Jihadi-inspired extremists","The specific motive is unknown; however, sources noted that Mesa Hodzic was sympathetic to the Islamic State of Iraq and the Levant (ISIL).",1,1,0,5,"Firearms",1,3,-9,-9
2016,9,4,69,"France",8,"Western Europe","Ile-de-France",1,1,1,0,0,0,2,"Armed Assault",20,"Unknown",,,"Jihadi-inspired extremists","An unaffiliated individual, identified as Ornella G., claimed responsibility for the incident and pledged allegiance to the Islamic State of Iraq and the Levant (ISIL).",1,4,1,8,"Incendiary",0,0,-9,-9
2016,9,10,185,"Spain",8,"Western Europe","Navarre",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",15,"Religious Figures/Institutions",86,"Place of Worship","Muslim extremists","An unaffiliated individual claimed responsibility for the incident and stated that he had won heaven through carrying out the attack.",1,1,1,8,"Incendiary",0,0,-9,-9
